                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8718,                 2.1798,                 2.1586,                 1.7837,                0.51425,                0.41771,                0.40797,                0.17022,                0.48827,                0.42007,                0.39548,                0.17731,                 1.8219,                 2.1096,                 2.0579,                 1.8448,             0.00066357,             0.00066357,             0.00066357
                      2,                 1.8723,                  2.132,                 2.1442,                 1.8171,                0.44317,                0.44048,                0.38317,                0.15392,                0.43368,                0.44218,                0.38216,                0.15858,                 1.9554,                  2.242,                 2.2085,                 1.9919,              0.0012863,              0.0012863,              0.0012863
                      3,                 1.8805,                 2.2149,                 2.1644,                 1.8102,                0.46483,                0.42099,                0.37344,                0.14947,                0.46333,                0.42857,                0.37231,                0.16002,                 1.8367,                 2.2018,                 2.1258,                 1.9198,              0.0018651,              0.0018651,              0.0018651
                      4,                 1.8638,                   2.19,                 2.1063,                 1.8156,                0.50106,                0.41844,                0.39208,                0.15583,                0.50311,                0.41327,                0.39644,                 0.1664,                 1.8332,                 2.2597,                 2.1506,                 1.8953,               0.001802,               0.001802,               0.001802
                      5,                 1.8697,                 2.1869,                 2.0596,                  1.797,                0.49166,                0.41121,                0.39482,                 0.1546,                 0.5093,                0.41497,                0.40995,                0.17205,                 1.9112,                 2.1987,                 2.1581,                 1.9473,               0.001802,               0.001802,               0.001802
                      6,                 1.8438,                 2.1038,                 2.0314,                 1.7634,                0.51108,                0.41156,                0.39609,                0.15334,                 0.5153,                0.41497,                0.40025,                0.16328,                 1.9129,                  2.168,                 2.0773,                 1.9597,               0.001736,               0.001736,               0.001736
                      7,                 1.8266,                  2.087,                 1.9249,                  1.774,                0.54018,                0.44728,                0.46245,                0.18211,                 0.5484,                0.45408,                0.46951,                0.19763,                 1.8771,                  2.162,                 1.9348,                 1.9634,                0.00167,                0.00167,                0.00167
                      8,                 1.8108,                 2.0638,                 1.9736,                 1.7523,                0.55622,                 0.4455,                0.45935,                 0.1874,                0.59253,                0.44388,                 0.4738,                0.20299,                 1.8761,                 2.1017,                 1.9818,                 1.9133,               0.001604,               0.001604,               0.001604
                      9,                 1.8151,                 1.9727,                    1.9,                 1.7289,                0.52058,                0.44898,                0.44805,                0.17656,                0.52302,                0.45918,                0.45773,                0.18956,                 1.8354,                  2.076,                 2.0008,                 1.9132,               0.001538,               0.001538,               0.001538
                     10,                 1.7797,                 1.9316,                 1.9174,                 1.7496,                0.54946,                0.43197,                0.45243,                0.19045,                0.55379,                0.43537,                0.45138,                0.19939,                 1.8324,                 2.0712,                 1.9869,                 1.8911,               0.001472,               0.001472,               0.001472
