                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6905,                 1.8896,                 1.7006,                 1.9127,                0.62453,                0.49416,                0.55051,                0.24343,                0.66571,                0.51362,                0.58922,                0.28166,                 1.8133,                 2.0232,                 1.7329,                 2.0876,             0.00065686,             0.00065686,             0.00065686
                      2,                 1.7016,                 1.8586,                 1.6761,                 1.9175,                0.54552,                0.55112,                 0.5471,                 0.2317,                0.55707,                0.56279,                0.56596,                0.26647,                 1.8752,                 2.0525,                 1.7186,                 2.1196,              0.0012362,              0.0012362,              0.0012362
                      3,                  1.679,                 1.8861,                 1.6285,                 1.8561,                0.63727,                0.54005,                0.57197,                 0.2531,                0.69506,                 0.5642,                0.61955,                 0.2915,                 1.8676,                 2.0547,                 1.7473,                 2.1454,              0.0017275,              0.0017275,              0.0017275
                      4,                 1.6489,                 1.8143,                 1.6279,                 1.8647,                0.65273,                0.59144,                0.57241,                0.24591,                0.69561,                0.59576,                0.62866,                0.29278,                 1.8283,                 2.0283,                 1.8508,                 2.1195,               0.001604,               0.001604,               0.001604
                      5,                 1.5868,                 1.7438,                 1.5584,                 1.7702,                0.61492,                  0.553,                0.58436,                0.25913,                0.64976,                0.57198,                0.63973,                0.30055,                 1.8023,                 1.9724,                 1.6794,                 2.0753,               0.001604,               0.001604,               0.001604
                      6,                  1.594,                 1.7722,                 1.5378,                 1.8649,                0.67142,                0.58755,                0.61156,                  0.258,                0.70938,                  0.607,                0.65646,                0.30153,                 1.8718,                 2.0807,                 1.6938,                 2.1215,               0.001472,               0.001472,               0.001472
                      7,                 1.5814,                  1.669,                 1.4418,                 1.8205,                0.62812,                0.59533,                 0.6214,                0.26799,                 0.6856,                0.61942,                0.66792,                0.30737,                 1.8614,                 2.0134,                 1.6006,                 2.1293,                0.00134,                0.00134,                0.00134
                      8,                 1.5631,                 1.6642,                 1.4578,                 1.8715,                0.63693,                0.61479,                0.60493,                0.26764,                0.68713,                 0.6537,                0.67379,                0.32087,                 1.8193,                 1.9596,                 1.6623,                 2.0567,               0.001208,               0.001208,               0.001208
                      9,                 1.5659,                 1.6534,                 1.4228,                 1.8481,                0.66733,                0.59533,                0.61554,                0.27029,                0.70063,                0.61479,                0.66924,                0.31137,                 1.8281,                 1.9265,                 1.6788,                 2.0911,               0.001076,               0.001076,               0.001076
                     10,                 1.5219,                 1.6165,                 1.3323,                 1.8203,                0.71807,                 0.5748,                0.63073,                 0.2876,                0.75644,                0.60425,                0.69571,                0.33559,                 1.7857,                 1.9405,                 1.6203,                   2.07,               0.000944,               0.000944,               0.000944
                     11,                 1.4817,                 1.5317,                 1.3241,                 1.7904,                0.67772,                0.59144,                0.63697,                0.29321,                0.70893,                0.61868,                0.68749,                0.33597,                 1.7897,                 1.9427,                 1.5934,                 2.0782,               0.000812,               0.000812,               0.000812
                     12,                 1.5036,                 1.5737,                 1.3211,                 1.7962,                0.67867,                0.62646,                0.64203,                0.28861,                0.69975,                0.64591,                0.68823,                0.32814,                 1.8137,                 1.9241,                 1.5803,                 2.1018,                0.00068,                0.00068,                0.00068
                     13,                 1.4569,                 1.5153,                 1.2591,                 1.7435,                 0.7058,                0.64591,                0.65096,                0.29835,                0.75255,                0.65085,                0.70842,                 0.3397,                 1.8013,                 1.9282,                 1.5303,                 2.0799,               0.000548,               0.000548,               0.000548
                     14,                  1.434,                 1.4837,                 1.2207,                 1.7349,                0.70917,                0.62646,                0.65801,                0.30082,                0.75942,                0.64591,                0.72474,                0.34943,                 1.8091,                  1.935,                 1.5373,                 2.0918,               0.000416,               0.000416,               0.000416
                     15,                 1.4266,                 1.4605,                 1.2094,                 1.7267,                0.74761,                0.62646,                0.65891,                0.30869,                0.78851,                0.65283,                0.72368,                0.35386,                 1.7858,                 1.9179,                 1.5087,                 2.0852,               0.000284,               0.000284,               0.000284
