                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2187,                 4.7199,                 3.9132,                 1.9121,                0.00381,                0.59884,                0.05264,                0.01855,                0.00244,                0.38372,                0.05521,                0.01709,                 2.1293,                 4.8327,                 4.0014,                 1.5648,                0.00024,                0.00024,                0.00024
                      2,                 1.9172,                 3.6157,                 3.1486,                 1.5302,                0.00367,                0.57558,                0.08812,                0.03666,                0.00274,                0.43023,                0.05858,                0.02198,                 1.8392,                 4.9219,                 3.8009,                 1.6359,             0.00049505,             0.00049505,             0.00049505
                      3,                 1.7882,                 3.4695,                 2.9261,                 1.5143,                 0.0037,                 0.5814,                0.04006,                0.02028,                0.00244,                0.38372,                0.01044,                0.00299,                 1.8273,                 4.3782,                 3.9083,                 1.6826,             0.00074495,             0.00074495,             0.00074495
                      4,                 1.8014,                 3.4967,                 2.7266,                 1.4813,                0.40715,                0.12209,                 0.1085,                0.03873,                0.31204,                 0.0814,                0.05924,                0.01899,                 1.9642,                 4.8575,                 3.6005,                 1.7721,             0.00098971,             0.00098971,             0.00098971
                      5,                 1.8529,                 3.4002,                  2.675,                 1.4569,                0.18514,                0.14531,                0.06965,                0.02689,                0.12607,                0.11047,                0.03839,                0.01594,                 2.0832,                 5.5778,                 3.5166,                 1.8702,              0.0012293,              0.0012293,              0.0012293
                      6,                 1.8504,                 3.5527,                 2.6214,                 1.5965,                0.67269,                0.02326,                 0.0962,                0.03981,                0.75536,                0.01807,                0.06693,                0.02896,                 2.0933,                 5.8255,                 3.3226,                 1.9382,              0.0014638,              0.0014638,              0.0014638
                      7,                 1.8045,                 3.5703,                 2.3634,                 1.5199,                0.45508,                0.15698,                0.17533,                0.07106,                0.31231,                0.10465,                0.09755,                0.03473,                  2.133,                  5.354,                 2.9472,                 2.0293,              0.0016931,              0.0016931,              0.0016931
                      8,                 1.8461,                 3.3874,                 2.3648,                 1.5796,                0.20799,                0.15115,                0.10062,                0.04092,                0.15829,                0.10465,                0.06498,                0.01913,                 2.1221,                 4.7406,                 3.0764,                  2.004,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8116,                 3.1699,                 2.3361,                 1.5088,                0.38718,                0.19767,                0.19036,                0.08398,                0.20055,                0.08721,                 0.0488,                0.01692,                 1.9863,                 5.2354,                 2.8954,                   1.78,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.7775,                 3.3262,                   2.17,                 1.5104,                0.34137,                0.19186,                0.14995,                0.07647,                0.24676,                0.13953,                0.06652,                0.02324,                 2.0307,                 5.2488,                 3.0325,                 1.7633,              0.0018416,              0.0018416,              0.0018416
